*******************************************************************************************************
*     CCS-FEC-VME
*     ManufacturerID: 080030 (CERN)
*     BoardID:        000133 (307)
*******************************************************************************************************   
*     key              space  map  address      mask    read write description
VERSION_SRC_1          memory  0  000001d0    ffffffff    1    0
TRA_FIFO_1_R           memory  0  000001e0    ffffffff    1    0
RET_FIFO_1_R           memory  0  000001e4    ffffffff    1    0
REC_FIFO_1_R           memory  0  000001e8    ffffffff    1    0
TRA_FIFO_1_W           memory  0  000001e0    ffffffff    0    1
RET_FIFO_1_W           memory  0  000001e4    ffffffff    0    1
REC_FIFO_1_W           memory  0  000001e8    ffffffff    0    1
TRA_FIFO_1_R_BL        memory  1  000001e0    ffffffff    1    0
RET_FIFO_1_R_BL        memory  1  000001e4    ffffffff    1    0
REC_FIFO_1_R_BL        memory  1  000001e8    ffffffff    1    0
TRA_FIFO_1_W_BL        memory  1  000001e0    ffffffff    0    1
RET_FIFO_1_W_BL        memory  1  000001e4    ffffffff    0    1
REC_FIFO_1_W_BL        memory  1  000001e8    ffffffff    0    1
*
************************************************************************************
